"","1 run","5 runs","10 runs","25 runs","50 runs","100 runs","250 runs","500 runs","1000 runs"
"2398",8,9,8,4,5,5,8,6,5
"2399",8,9,8,4,5,5,8,6,5
"2400",8,9,8,4,5,5,8,6,5
"2401",8,9,8,4,5,5,8,6,5
"2402",8,9,8,4,5,5,8,6,5
"2403",8,9,8,4,5,5,8,6,5
"2404",8,9,8,4,5,5,8,6,5
"2405",8,9,8,4,5,5,8,6,5
"2406",8,9,8,4,5,5,8,6,5
"2407",8,9,8,4,5,5,8,6,5
"2408",9,8,9,9,9,9,9,8,8
"2409",8,9,8,4,5,5,8,6,5
"2410",8,9,8,4,5,5,8,6,5
"2411",8,9,8,4,5,5,8,6,5
"2412",8,9,8,4,5,5,8,6,5
"2413",8,9,8,4,5,5,8,6,5
"2414",8,9,8,4,5,5,8,6,5
"2415",8,9,8,4,5,5,8,6,5
"2416",7,7,8,8,8,7,8,6,5
"2417",8,9,8,4,5,5,8,6,5
"2418",8,9,8,4,5,5,8,6,5
"2419",8,9,8,4,5,5,8,6,5
"2420",8,9,8,4,5,5,8,6,5
"2421",8,9,8,4,5,5,8,6,5
"2422",8,9,8,4,5,5,8,6,5
"2423",8,9,8,4,5,5,8,6,5
"2424",8,9,8,4,5,5,8,6,5
"2425",8,9,8,4,5,5,8,6,5
"2426",8,9,8,4,5,5,8,6,5
"2427",5,8,7,7,7,8,7,8,8
"2428",8,9,8,4,5,5,8,6,5
"2429",8,9,8,4,5,5,8,6,5
"2430",9,8,9,9,9,9,9,8,8
"2431",8,9,8,4,5,5,8,6,5
"2432",8,9,8,4,5,5,8,6,5
"2433",8,9,8,4,5,5,8,6,5
"2434",8,9,8,4,5,5,8,6,5
"2435",8,9,8,4,5,5,8,6,5
"2436",8,9,8,4,5,5,8,6,5
"2437",8,9,8,4,5,5,8,6,5
"2438",8,9,8,4,5,5,8,6,5
"2439",8,9,8,4,5,5,8,6,5
"2440",8,9,8,4,5,5,8,6,5
"2441",8,9,8,4,5,5,8,6,5
"2442",8,9,8,4,5,5,8,6,5
"2443",8,9,8,4,5,5,8,6,5
"2444",8,9,8,4,5,5,8,6,5
"2445",8,9,8,4,5,5,8,6,5
"2446",9,8,9,7,9,9,9,8,8
"2447",6,6,8,8,8,5,8,6,5
"2448",7,7,6,6,6,7,6,7,7
"2449",7,7,8,6,6,7,8,7,7
"2450",7,7,6,6,6,7,6,7,7
"2451",7,7,6,6,6,7,6,7,7
"2452",7,7,6,6,6,7,6,7,7
"2453",7,7,6,6,6,7,6,7,7
"2454",7,7,6,6,6,7,6,7,7
"2455",7,7,8,6,6,7,8,7,7
"2456",7,7,6,6,6,7,6,7,7
"2457",7,7,6,6,6,7,6,7,7
"2458",7,7,6,6,6,7,6,7,7
"2459",7,7,6,6,6,7,6,7,7
"2460",7,7,6,6,6,7,6,7,7
"2461",7,7,6,6,6,7,6,7,7
"2462",7,7,6,6,6,7,6,7,7
"2463",7,7,6,6,6,7,6,7,7
"2464",7,7,6,6,6,7,6,7,7
"2465",7,7,6,6,6,7,6,7,7
"2466",7,7,6,6,6,7,6,7,7
"2467",7,7,6,6,6,7,6,7,7
"2468",7,7,6,6,6,7,6,7,7
"2469",8,9,8,4,5,5,8,6,5
"2470",6,6,5,4,5,5,8,6,5
"2471",7,7,6,6,6,7,6,7,7
"2472",7,7,6,6,6,7,6,7,7
"2473",7,7,6,6,6,7,6,7,7
"2474",7,7,6,6,6,7,6,7,7
"2475",6,5,3,5,4,6,4,5,6
"2476",7,7,6,6,6,7,6,7,7
"2477",7,7,6,6,6,7,6,7,7
"2478",7,7,6,6,6,7,6,7,7
"2479",7,7,6,6,6,7,6,7,7
"2480",7,7,6,6,6,7,6,7,7
"2481",7,7,6,6,6,7,6,7,7
"2482",7,7,6,6,6,7,6,7,7
"2483",7,7,6,6,6,7,6,7,7
"2484",6,5,3,5,4,6,4,5,6
"2485",7,7,6,6,6,7,6,7,7
"2486",7,7,6,6,6,7,6,7,7
"2487",7,7,6,6,6,7,6,7,7
"2488",7,7,6,6,6,7,6,7,7
"2489",7,7,6,6,6,7,6,7,7
"2490",7,7,6,6,6,7,6,7,7
"2491",7,7,6,6,6,7,6,7,7
"2492",7,7,6,6,6,7,6,7,7
"2493",7,7,6,6,6,7,6,7,7
"2494",6,5,3,5,4,6,4,5,6
"2495",6,5,3,5,4,6,4,5,6
"2496",7,7,6,6,6,7,6,7,7
"2497",7,7,6,6,6,7,6,7,7
"2498",7,7,6,6,6,7,6,7,7
"2499",7,7,6,6,6,7,6,7,7
"2500",7,7,6,6,6,7,6,7,7
"2501",7,7,6,6,6,7,6,7,7
"2502",7,7,6,6,6,7,6,7,7
"2503",7,7,6,6,6,7,6,7,7
"2504",7,7,6,6,6,7,6,7,7
"2505",7,7,6,6,6,7,6,7,7
"2506",7,7,6,6,6,7,6,7,7
